url,slug,title,updated
https://www.brainpad.co.jp/doors/contents/01_3d_data_1,01_3d_data_1,【前編】「3Dデータ活用」の現在地 | DOORS DX,2026-08-07
https://www.brainpad.co.jp/doors/contents/01_3d_data_2,01_3d_data_2,【後編】「3Dデータ活用」の現在地 | DOORS DX,2026-08-07
https://www.brainpad.co.jp/doors/contents/01_4_foundations_bridging_role,01_4_foundations_bridging_role,企業DX推進に必要な4つの基盤と橋渡し役の存在 | DOORS DX,2026-08-07
https://www.brainpad.co.jp/doors/contents/01_about_data_analysis,01_about_data_analysis,データ分析とは？定義や代表的な手法、活用イメージを解説 | DOORS DX,2026-08-07
https://www.brainpad.co.jp/doors/contents/01_about_data_scientist,01_about_data_scientist,【現役社員が解説】データサイエンティストとは？仕事内容や必要なスキルまでを解説 | DOORS DX,2026-08-07
https://www.brainpad.co.jp/doors/contents/01_about_llm,01_about_llm,LLM（大規模言語モデル）とは？仕組みやAIでの活用事例を解説 | DOORS DX,2026-08-07
https://www.brainpad.co.jp/doors/contents/01_agriculture_dx_01,01_agriculture_dx_01,農業×DXの未来 | DOORS DX,2026-08-07
https://www.brainpad.co.jp/doors/contents/01_analytics_engineer,01_analytics_engineer,アナリティクスエンジニアが、DX実現に向けて考えていること | DOORS DX,2026-08-07
https://www.brainpad.co.jp/doors/contents/01_apply_generative_ai_to_business,01_apply_generative_ai_to_business,生成AIをビジネス活用するための鍵とは？ | DOORS DX,2026-08-07
https://www.brainpad.co.jp/doors/contents/01_brainpad_day_insourcing,01_brainpad_day_insourcing,ブレインパッドが提供する内製化支援オファリング「BrainPad DAY」とは | DOORS DX,2026-08-07
https://www.brainpad.co.jp/doors/contents/01_business_application_machine_learning_1,01_business_application_machine_learning_1,【前編】データ分析を「システム実装」するための重要ポイントとは ～機械学習を活用した業務アプリケーション構築～ | DOORS DX,2026-08-07
https://www.brainpad.co.jp/doors/contents/01_business_application_machine_learning_2,01_business_application_machine_learning_2,【後編】データ分析を「システム実装」するための重要ポイントとは ～機械学習を活用した業務アプリケーション構築～ | DOORS DX,2026-08-07
https://www.brainpad.co.jp/doors/contents/01_cdp_data-infrastructure,01_cdp_data-infrastructure,マーケターが「本来の仕事」をするためのCDPを目指して | DOORS DX,2026-08-07
https://www.brainpad.co.jp/doors/contents/01_cdp_data_collection_processing,01_cdp_data_collection_processing,CDPを活用したスピーディーなデータ収集、加工 | DOORS DX,2026-08-06
https://www.brainpad.co.jp/doors/contents/01_chatgpt_fine_tuning_internal_documents,01_chatgpt_fine_tuning_internal_documents,社内文書に特化したChatGPT　ファインチューニング実践編 | DOORS DX,2026-08-07
https://www.brainpad.co.jp/doors/contents/01_chugoku_bank,01_chugoku_bank,中国銀行が進めるデジタルマーケティングのさらなる高度化のために――現状分析とロードマップ策定支援プロジェクトが始動 | DOORS DX,2026-08-07
https://www.brainpad.co.jp/doors/contents/01_citizen_data_scientist_1,01_citizen_data_scientist_1,【シリーズ】シチズンデータサイエンティストが扱う機械学習ツール～AutoMLを始めとした機械学習ツールの現状、および課題点～ | DOORS DX,2026-08-07
https://www.brainpad.co.jp/doors/contents/01_citizen_data_scientist_2,01_citizen_data_scientist_2,【シリーズ】シチズンデータサイエンティストが扱う機械学習ツール～Azure編～ | DOORS DX,2026-08-07
https://www.brainpad.co.jp/doors/contents/01_client_vendor_oneteam,01_client_vendor_oneteam,ベンダーとのワンチームで“トランスフォーメーションの壁”を突破する | DOORS DX,2026-08-07
https://www.brainpad.co.jp/doors/contents/01_con_data_driven_1,01_con_data_driven_1,「アナリティクスファーム」が支援する、BtoCビジネス企業のデータドリブン推進 | DOORS DX,2026-08-07
https://www.brainpad.co.jp/doors/contents/01_consensusbuilding_cooperationsystem_1,01_consensusbuilding_cooperationsystem_1,【前編】DXの成果は「課題の自分ゴト化」と「トップのコミット」で決まる～全社一丸となって取り組む合意形成・協力体制の作り方～ | DOORS DX,2026-08-07
https://www.brainpad.co.jp/doors/contents/01_consensusbuilding_cooperationsystem_2,01_consensusbuilding_cooperationsystem_2,【後編】DXの成果は「課題の自分ゴト化」と「トップのコミット」で決まる～全社一丸となって取り組む合意形成・協力体制の作り方～ | DOORS DX,2026-08-07
https://www.brainpad.co.jp/doors/contents/01_crm_for_differentiation-1,01_crm_for_differentiation-1,【シリーズ】データの専門家による差別化のためのCRMの見直し方　第1回　持続的な成長に向けたCRM全体像の描き直しとは？ | DOORS DX,2026-08-07
https://www.brainpad.co.jp/doors/contents/01_crm_for_differentiation-2,01_crm_for_differentiation-2,【シリーズ】データの専門家による差別化のためのCRMの見直し方　第2回　KGI達成に向けたKPIマネジメントの描き直しとは？ | DOORS DX,2026-08-07
https://www.brainpad.co.jp/doors/contents/01_crm_for_differentiation-3,01_crm_for_differentiation-3,【シリーズ】データの専門家による差別化のためのCRMの見直し方　第3回　KPI達成に向けた施策改善PDCAの描き直しとは？ | DOORS DX,2026-08-07
https://www.brainpad.co.jp/doors/contents/01_crosstalk_devsecops_1,01_crosstalk_devsecops_1,【対談】DevSecOpsの浸透において重要なのは「顧客起点」の着想である－前編 | DOORS DX,2026-08-07
https://www.brainpad.co.jp/doors/contents/01_crosstalk_devsecops_2,01_crosstalk_devsecops_2,【対談】DevSecOpsの浸透において重要なのは「顧客起点」の着想である－後編 | DOORS DX,2026-08-06
https://www.brainpad.co.jp/doors/contents/01_current_location_and_future_dataengineering,01_current_location_and_future_dataengineering,データエンジニアリング×データ活用支援企業の現在地とこれから | DOORS DX,2026-08-07
https://www.brainpad.co.jp/doors/contents/01_current_status_and_future_of_mlops,01_current_status_and_future_of_mlops,MLOpsの現状とこれから～機械学習の継続的な精度向上と様々な課題～ | DOORS DX,2026-08-07
https://www.brainpad.co.jp/doors/contents/01_customer_data_into_assets_digital_business,01_customer_data_into_assets_digital_business,デジタルビジネスの成否を分ける顧客データの資産化への取り組みステップ | DOORS DX,2026-08-07
https://www.brainpad.co.jp/doors/contents/01_data_analysis_culture,01_data_analysis_culture,データ活用は「試行錯誤」の繰り返し～DX推進の速さを分ける「データ分析に向き合う文化」～ | DOORS DX,2026-08-07
https://www.brainpad.co.jp/doors/contents/01_data_analysis_first_step,01_data_analysis_first_step,データ分析を成果につなげるための「はじめの一歩」 | DOORS DX,2026-08-07
https://www.brainpad.co.jp/doors/contents/01_data_analytics_project_5points,01_data_analytics_project_5points,データ分析プロジェクトを外注する際に失敗しないための5つのポイント | DOORS DX,2026-08-07
https://www.brainpad.co.jp/doors/contents/01_data_driven_as_usual,01_data_driven_as_usual,息を吸うようにデータが活用される社会をつくるには～Data-driven as Usual～ | DOORS DX,2026-08-07
https://www.brainpad.co.jp/doors/contents/01_data_driven_pricing_1,01_data_driven_pricing_1,データドリブンなプライシング～従来のプライシング手法の課題解決に必要なもの～（前編） | DOORS DX,2026-08-07
https://www.brainpad.co.jp/doors/contents/01_data_driven_pricing_2,01_data_driven_pricing_2,データドリブンなプライシング～従来のプライシング手法の課題解決に必要なもの～（後編） | DOORS DX,2026-08-07
https://www.brainpad.co.jp/doors/contents/01_data_engineer,01_data_engineer,データエンジニアとは～役割、他のエンジニアとの違いなど～ | DOORS DX,2026-08-07
https://www.brainpad.co.jp/doors/contents/01_data_governance_1,01_data_governance_1,【シリーズ】データガバナンスがもたらすもの－第1回 「データガバナンス」とは何か？ | DOORS DX,2026-08-07
https://www.brainpad.co.jp/doors/contents/01_data_governance_10,01_data_governance_10,【シリーズ】データガバナンスがもたらすもの－第10回　改めてデータガバナンスとは　データマネジメントとの対比を中心に | DOORS DX,2026-08-07
https://www.brainpad.co.jp/doors/contents/01_data_governance_11,01_data_governance_11,【シリーズ】データガバナンスがもたらすもの－第11回　金融業界とSSP（Smart Strategic Platform）の展開～スピーディーなデータ基盤構築とビジネスドリブンな運用～ | DOORS DX,2026-08-07
https://www.brainpad.co.jp/doors/contents/01_data_governance_2,01_data_governance_2,【シリーズ】データガバナンスがもたらすもの－第2回 データガバナンスの進め方 | DOORS DX,2026-08-07
